Name,Birth,Death,Width,Category,Location,,,",","""",
"""Marilyn Monroe """,1926,1962,180,"""Entertainer""","""North America""",,"INSERT INTO history(Id, Name, Birth, Death, Width, Category, Location)",1,"VALUES(1,""Marilyn Monroe "",1926,1962,180,""Entertainer"",""North America"");","INSERT INTO history(Id, Name, Birth, Death, Width, Category, Location) VALUES(1,""Marilyn Monroe "",1926,1962,180,""Entertainer"",""North America"");"
"""Abraham Lincoln """,1809,1865,280,"""Politician""","""North America""",,"INSERT INTO history(Id, Name, Birth, Death, Width, Category, Location)",2,"VALUES(2,""Abraham Lincoln "",1809,1865,280,""Politician"",""North America"");","INSERT INTO history(Id, Name, Birth, Death, Width, Category, Location) VALUES(2,""Abraham Lincoln "",1809,1865,280,""Politician"",""North America"");"
"""Mother Teresa """,1910,1997,435,"""Religion""","""Europe""",,"INSERT INTO history(Id, Name, Birth, Death, Width, Category, Location)",3,"VALUES(3,""Mother Teresa "",1910,1997,435,""Religion"",""Europe"");","INSERT INTO history(Id, Name, Birth, Death, Width, Category, Location) VALUES(3,""Mother Teresa "",1910,1997,435,""Religion"",""Europe"");"
"""John F. Kennedy """,1917,1963,230,"""Politician""","""North America""",,"INSERT INTO history(Id, Name, Birth, Death, Width, Category, Location)",4,"VALUES(4,""John F. Kennedy "",1917,1963,230,""Politician"",""North America"");","INSERT INTO history(Id, Name, Birth, Death, Width, Category, Location) VALUES(4,""John F. Kennedy "",1917,1963,230,""Politician"",""North America"");"
"""Martin Luther King """,1929,1968,195,"""Activist""","""North America""",,"INSERT INTO history(Id, Name, Birth, Death, Width, Category, Location)",5,"VALUES(5,""Martin Luther King "",1929,1968,195,""Activist"",""North America"");","INSERT INTO history(Id, Name, Birth, Death, Width, Category, Location) VALUES(5,""Martin Luther King "",1929,1968,195,""Activist"",""North America"");"
"""Nelson Mandela """,1918,2013,475,"""Politician""","""Africa""",,"INSERT INTO history(Id, Name, Birth, Death, Width, Category, Location)",6,"VALUES(6,""Nelson Mandela "",1918,2013,475,""Politician"",""Africa"");","INSERT INTO history(Id, Name, Birth, Death, Width, Category, Location) VALUES(6,""Nelson Mandela "",1918,2013,475,""Politician"",""Africa"");"
"""Queen Elizabeth II """,1926,2019,465,"""Monarchy""","""Europe""",,"INSERT INTO history(Id, Name, Birth, Death, Width, Category, Location)",7,"VALUES(7,""Queen Elizabeth II "",1926,2019,465,""Monarchy"",""Europe"");","INSERT INTO history(Id, Name, Birth, Death, Width, Category, Location) VALUES(7,""Queen Elizabeth II "",1926,2019,465,""Monarchy"",""Europe"");"
"""Winston Churchill """,1874,1965,455,"""Politician""","""Europe""",,"INSERT INTO history(Id, Name, Birth, Death, Width, Category, Location)",8,"VALUES(8,""Winston Churchill "",1874,1965,455,""Politician"",""Europe"");","INSERT INTO history(Id, Name, Birth, Death, Width, Category, Location) VALUES(8,""Winston Churchill "",1874,1965,455,""Politician"",""Europe"");"
"""Donald Trump """,1946,2019,365,"""Politician""","""North America""",,"INSERT INTO history(Id, Name, Birth, Death, Width, Category, Location)",9,"VALUES(9,""Donald Trump "",1946,2019,365,""Politician"",""North America"");","INSERT INTO history(Id, Name, Birth, Death, Width, Category, Location) VALUES(9,""Donald Trump "",1946,2019,365,""Politician"",""North America"");"
"""Bill Gates """,1955,2019,320,"""Business""","""North America""",,"INSERT INTO history(Id, Name, Birth, Death, Width, Category, Location)",10,"VALUES(10,""Bill Gates "",1955,2019,320,""Business"",""North America"");","INSERT INTO history(Id, Name, Birth, Death, Width, Category, Location) VALUES(10,""Bill Gates "",1955,2019,320,""Business"",""North America"");"
"""Muhammad Ali """,1942,2016,370,"""Sports""","""North America""",,"INSERT INTO history(Id, Name, Birth, Death, Width, Category, Location)",11,"VALUES(11,""Muhammad Ali "",1942,2016,370,""Sports"",""North America"");","INSERT INTO history(Id, Name, Birth, Death, Width, Category, Location) VALUES(11,""Muhammad Ali "",1942,2016,370,""Sports"",""North America"");"
"""Mahatma Gandhi """,1869,1948,395,"""Politician""","""Asia""",,"INSERT INTO history(Id, Name, Birth, Death, Width, Category, Location)",12,"VALUES(12,""Mahatma Gandhi "",1869,1948,395,""Politician"",""Asia"");","INSERT INTO history(Id, Name, Birth, Death, Width, Category, Location) VALUES(12,""Mahatma Gandhi "",1869,1948,395,""Politician"",""Asia"");"
